"state_name","county_name","gop_votes","dem_votes","gop_dem_total","year","margin","per_gop","per_dem","perc_margin","gop_demperc","fips_code_lz","Dem_EV","Rep_EV","Avglat"
"Delaware","Kent County",43882.3860066495,52243.8979044556,96126.2839111051,2086-01-01,8361.51189780618,0.456507671171713,0.543492328828287,0.0869846576565747,1,"10001",NA,NA,NA
"Delaware","New Castle County",90228.3123170461,188895.913851726,279124.226168772,2086-01-01,98667.6015346801,0.323255037928845,0.676744962071155,0.353489924142309,1,"10003",NA,NA,NA
"Delaware","Sussex County",82303.2122802832,63942.9958664138,146246.208146697,2086-01-01,18360.2164138693,0.562771598137616,0.437228401862384,0.125543196275233,1,"10005",NA,NA,NA
"Alabama","Autauga County",22573.4955995534,8796.81406181698,31370.3096613704,2086-01-01,13776.6815377365,0.71958153563752,0.28041846436248,0.439163071275039,1,"1001",NA,NA,NA
"Alabama","Baldwin County",119933.852978098,29919.1383850032,149852.991363101,2086-01-01,90014.7145930946,0.800343402471642,0.199656597528358,0.600686804943283,1,"1003",NA,NA,NA
"Alabama","Barbour County",6703.7272464388,4546.07395776051,11249.8012041993,2086-01-01,2157.65328867829,0.595897396296785,0.404102603703215,0.191794792593569,1,"1005",NA,NA,NA
"Alabama","Bibb County",8783.60547784197,2300.63212320258,11084.2376010446,2086-01-01,6482.9733546394,0.792441103663659,0.207558896336341,0.584882207327318,1,"1007",NA,NA,NA
"Alabama","Blount County",31978.473955703,3616.65159317138,35595.1255488744,2086-01-01,28361.8223625316,0.898394751039563,0.101605248960437,0.796789502079127,1,"1009",NA,NA,NA
"Alabama","Bullock County",1480.88782814343,3247.84301698556,4728.73084512899,2086-01-01,1766.95518884213,0.313168136788516,0.686831863211484,0.373663726422968,1,"1011",NA,NA,NA
"Alabama","Butler County",6113.94539881555,3871.47462749173,9985.42002630728,2086-01-01,2242.47077132382,0.612287253085793,0.387712746914207,0.224574506171586,1,"1013",NA,NA,NA
"Alabama","Calhoun County",40534.6052811341,17425.4956651326,57960.1009462668,2086-01-01,23109.1096160015,0.699353600483075,0.300646399516925,0.39870720096615,1,"1015",NA,NA,NA
"Alabama","Chambers County",10438.6420459258,6859.99624038402,17298.6382863098,2086-01-01,3578.64580554177,0.603437211250723,0.396562788749276,0.206874422501447,1,"1017",NA,NA,NA
"Alabama","Cherokee County",12900.8091973224,2018.73585229328,14919.5450496157,2086-01-01,10882.0733450291,0.864691862548095,0.135308137451905,0.729383725096191,1,"1019",NA,NA,NA
"Alabama","Chilton County",20261.0600442601,3821.75530976522,24082.8153540254,2086-01-01,16439.3047344949,0.841307785091396,0.158692214908604,0.682615570182792,1,"1021",NA,NA,NA
"Alabama","Choctaw County",4528.14765739169,3265.41110442153,7793.55876181322,2086-01-01,1262.73655297016,0.581011550150703,0.418988449849297,0.162023100301406,1,"1023",NA,NA,NA
"Alabama","Clarke County",8969.18548694412,6450.40446485406,15419.5899517982,2086-01-01,2518.78102209007,0.581674708275765,0.418325291724235,0.16334941655153,1,"1025",NA,NA,NA
"Alabama","Clay County",6729.06397446398,1587.29504353293,8316.35901799691,2086-01-01,5141.76893093106,0.80913582012297,0.19086417987703,0.618271640245939,1,"1027",NA,NA,NA
"Alabama","Cleburne County",7966.01827408052,821.093231036465,8787.11150511699,2086-01-01,7144.92504304406,0.906557094380979,0.0934429056190216,0.813114188761957,1,"1029",NA,NA,NA
"Alabama","Coffee County",19693.9016933866,5714.14925515584,25408.0509485425,2086-01-01,13979.7524382308,0.775104778137906,0.224895221862094,0.550209556275813,1,"1031",NA,NA,NA
"Alabama","Colbert County",21186.4982359663,10573.4970542021,31759.9952901684,2086-01-01,10613.0011817642,0.667081277638752,0.332918722361248,0.334162555277504,1,"1033",NA,NA,NA
"Alabama","Conecuh County",4032.9375981218,2769.0707851914,6802.0083833132,2086-01-01,1263.86681293039,0.592903944078556,0.407096055921444,0.185807888157112,1,"1035",NA,NA,NA
"Alabama","Coosa County",4164.71488069392,1964.15638960858,6128.8712703025,2086-01-01,2200.55849108534,0.679523960777914,0.320476039222086,0.359047921555828,1,"1037",NA,NA,NA
"Alabama","Covington County",16673.5471365265,3104.96501579027,19778.5121523168,2086-01-01,13568.5821207363,0.843013215964955,0.156986784035045,0.68602643192991,1,"1039",NA,NA,NA
"Alabama","Crenshaw County",5346.18348799826,1986.69192162579,7332.87540962405,2086-01-01,3359.49156637248,0.729070547275582,0.270929452724418,0.458141094551164,1,"1041",NA,NA,NA
"Alabama","Cullman County",45637.5052196355,5145.08562845969,50782.5908480952,2086-01-01,40492.4195911758,0.898684065886869,0.101315934113131,0.797368131773738,1,"1043",NA,NA,NA
"Alabama","Dale County",16822.6130835292,6435.02891060331,23257.6419941325,2086-01-01,10387.5841729259,0.723315505835598,0.276684494164402,0.446631011671195,1,"1045",NA,NA,NA
"Alabama","Dallas County",8169.38547328851,13884.8620706476,22054.2475439361,2086-01-01,5715.47659735912,0.370422316926188,0.629577683073812,0.259155366147624,1,"1047",NA,NA,NA
"Alabama","DeKalb County",28441.6075573757,4200.07093478155,32641.6784921572,2086-01-01,24241.5366225941,0.871327973045544,0.128672026954456,0.742655946091088,1,"1049",NA,NA,NA
"Alabama","Elmore County",38004.9697358112,13280.7206266211,51285.6903624324,2086-01-01,24724.2491091901,0.741044323811043,0.258955676188957,0.482088647622086,1,"1051",NA,NA,NA
"Alabama","Escambia County",12304.3377928284,4889.37666254523,17193.7144553736,2086-01-01,7414.96113028313,0.715629995180178,0.284370004819822,0.431259990360356,1,"1053",NA,NA,NA
