state_name,fips_code,county_name,gop_votes,dem_votes,gop_dem_total,year,margin,per_gop,per_dem,perc_margin,gop_demperc,fips_code_lz,Dem_EV,Rep_EV,Lat,Lon,AvgLat,AvgLon,PC_PI,Pop,Unemp_Rate,Median_Age,Female_Perc,White_Perc,Black_Perc,AmInd_Perc,Asian_Perc,Hisp_Perc,Vet_Perc,Foreign_Perc,Gini_Index,HH_Size,HSGrad_Perc,Bach_Perc,GradDeg_Perc,ViolentCrime,SQM_AreaLand,cluster
Alabama,1001,Autauga County,18110,5908,24661,2016,12202,0.734357893,0.23956855,0.494789343,0.973926443,1001,227,304,-86.494165,32.500389,-86.70093539,32.87832515,39883,55243,5.11,37.8,51.176,76.861,18.522,0.411,0.807,2.572,12.324,3.224,0.4295,2.62,34.331,14.271,10.322,272.28,594.4403797,12
Alabama,1003,Baldwin County,72780,18409,94090,2016,54371,0.77351472,0.195653098,0.577861622,0.969167818,1003,227,304,-87.762381,30.548923,-86.70093539,32.87832515,43143,207601,5.35,42.3,51.195,86.432,9.32,0.679,0.671,4.367,12.465,3.941,0.4608,2.62,28.692,19.333,10.214,203.66,1589.784772,1
Alabama,1005,Barbour County,5431,4848,10390,2016,583,0.522714148,0.466602502,0.056111646,0.989316651,1005,227,304,-85.310038,31.844036,-86.70093539,32.87832515,31932,25806,8.36,38.7,46.498,46.705,47.93,0.173,0.485,4.31,8.386,3.276,0.462,2.6,34.927,7.783,5.085,414.28,884.9970513,7
Alabama,1007,Bibb County,6733,1874,8748,2016,4859,0.769661637,0.214220393,0.555441244,0.98388203,1007,227,304,-87.127659,33.030921,-86.70093539,32.87832515,28976,22586,6.47,40.2,46.465,76.954,21.212,0.359,0.062,2.224,7.17,1.582,0.4494,2.92,41.816,6.165,5.835,89.35,622.4578644,0
Alabama,1009,Blount County,22808,2150,25384,2016,20658,0.898518752,0.084699023,0.813819729,0.983217775,1009,227,304,-86.591491,33.955243,-86.70093539,32.87832515,32902,57494,5.4,40.8,50.485,95.441,1.568,0.348,0.159,8.727,10.149,4.644,0.4165,2.77,32.942,8.923,4.127,482.69,644.82712,12
Alabama,1011,Bullock County,1139,3530,4701,2016,2391,0.242288875,0.750904063,0.508615188,0.993192938,1011,227,304,-85.701192,32.116327,-86.70093539,32.87832515,26005,10389,6.86,39.2,45.802,21.806,75.502,0.796,0.796,0.123,4.917,1.658,0.4701,2.84,34.147,4.855,5.4,311.03,622.8021417,7
Alabama,1013,Butler County,4891,3716,8685,2016,1175,0.563154865,0.427864134,0.135290731,0.991018998,1013,227,304,-86.65355,31.773539,-86.70093539,32.87832515,34394,20012,6.93,40.6,53.047,53.629,43.762,0.074,1.001,1.248,8.616,1.8,0.4588,2.6,39.852,9.52,6.56,581.58,776.8341768,2
Alabama,1015,Calhoun County,32803,13197,47376,2016,19606,0.692396994,0.278558764,0.41383823,0.970955758,1015,227,304,-85.819442,33.72546,-86.70093539,32.87832515,34920,114973,6.55,39.1,51.898,74.883,20.53,0.33,0.931,3.436,11.479,3.309,0.4543,2.51,32.072,10.484,7.169,756.07,605.8641131,2
Alabama,1017,Chambers County,7803,5763,13778,2016,2040,0.56633764,0.418275512,0.148062128,0.984613151,1017,227,304,-85.266474,32.860439,-86.70093539,32.87832515,32704,33745,5.47,43.1,52.087,57.079,40.505,0.229,0.917,0.435,9.064,1.264,0.4734,2.42,39.411,8.745,3.739,529,596.5575529,2
Alabama,1019,Cherokee County,8809,1524,10503,2016,7285,0.838712749,0.1451014,0.693611349,0.983814148,1019,227,304,-85.629194,34.179333,-86.70093539,32.87832515,33443,25768,5.07,45.7,50.253,93.277,4.668,0.587,0.421,1.564,10.986,0.85,0.4464,2.32,35.958,7.826,6.136,330.44,553.5219642,0
Alabama,1021,Chilton County,15068,2909,18255,2016,12159,0.825417694,0.159353602,0.666064092,0.984771296,1021,227,304,-86.687406,32.877547,-86.70093539,32.87832515,32498,43866,5.5,38.7,50.798,83.849,10.083,0.306,0.436,7.625,9.292,6.068,0.4575,2.61,41.254,9.517,5.337,507.81,692.8475987,0
Alabama,1023,Choctaw County,4102,3109,7268,2016,993,0.564391855,0.427765548,0.136626307,0.992157402,1023,227,304,-88.264164,32.016562,-86.70093539,32.87832515,36275,13045,8.53,45.1,52.216,56.409,42.583,0.015,0.045,0.557,8.815,0.73,0.4799,2.36,37.257,7.832,4.128,128.41,913.4623433,2
Alabama,1025,Clarke County,7109,5712,12936,2016,1397,0.549551639,0.441558442,0.107993197,0.99111008,1025,227,304,-87.815673,31.685685,-86.70093539,32.87832515,34879,24340,10.89,42,52.759,53.338,45.494,0.032,0.459,0.173,6.697,0.563,0.5259,2.56,45.118,7.737,4.4,475.31,1238.413476,7
Alabama,1027,Clay County,5230,1234,6572,2016,3996,0.795800365,0.187766281,0.608034084,0.983566646,1027,227,304,-85.820227,33.272412,-86.70093539,32.87832515,31410,13393,5.96,43.7,51.554,82.897,14.782,0.92,0,3.108,10.462,1.921,0.4497,2.47,34.575,6.627,4.436,309.07,603.9576335,0
Alabama,1029,Cleburne County,5738,684,6532,2016,5054,0.878444581,0.104715248,0.773729333,0.983159829,1029,227,304,-85.494315,33.62977,-86.70093539,32.87832515,34170,14848,6,41.5,50.484,94.563,2.361,0.14,0.574,2.328,6.45,2.201,0.4441,2.54,37.97,6.28,5.248,103.33,560.1013472,0
Alabama,1031,Coffee County,15825,4194,20513,2016,11631,0.771462,0.204455711,0.567006289,0.975917711,1031,227,304,-85.904715,31.354433,-86.70093539,32.87832515,40280,51202,5.88,39.3,50.56,76.376,17.191,0.826,1.222,6.558,16.84,5.456,0.4485,2.6,29.344,15.17,8.497,276.21,678.9823036,1
Alabama,1033,Colbert County,16718,7296,24626,2016,9422,0.678875985,0.296272233,0.382603752,0.975148217,1033,227,304,-87.685151,34.723385,-86.70093539,32.87832515,36463,54497,6.96,42.4,51.687,79.775,15.69,0.603,0.469,2.402,9.841,2.008,0.4396,2.44,34.849,11.761,6.71,400.01,592.7416161,2
Alabama,1035,Conecuh County,3413,3069,6543,2016,344,0.521626165,0.469050894,0.052575271,0.990677059,1035,227,304,-86.996483,31.418674,-86.70093539,32.87832515,30638,12500,8.44,44,52.524,51.926,46.31,0.15,0.11,1.764,8.312,1.055,0.4791,2.48,46.208,4.927,3.735,387.41,850.1952324,7
Alabama,1037,Coosa County,3376,1780,5223,2016,1596,0.646371817,0.340800306,0.305571511,0.987172123,1037,227,304,-86.155035,32.975932,-86.70093539,32.87832515,29397,10819,5.98,44.9,50.709,66.311,32.364,0.074,0,1.289,10.065,1.823,0.4263,2.5,36.335,6.184,3.756,254.83,650.9069997,2
Alabama,1039,Covington County,13222,2379,15818,2016,10843,0.835883171,0.15039828,0.685484891,0.986281452,1039,227,304,-86.410955,31.282449,-86.70093539,32.87832515,33453,37382,6.77,42.9,51.711,84.5,13.107,0.345,0.466,1.532,10.488,1.283,0.4555,2.45,34.407,10.014,4.907,331.12,1030.550715,0
Alabama,1041,Crenshaw County,4511,1663,6252,2016,2848,0.721529111,0.265994882,0.455534229,0.987523992,1041,227,304,-86.29708,31.743487,-86.70093539,32.87832515,34624,13916,5.88,41.6,50.612,71.495,23.834,0.885,1.67,1.684,8.447,2.533,0.468,2.53,38.53,10.941,3.706,331.91,608.8614757,2
Alabama,1043,Cullman County,32734,3730,37278,2016,29004,0.878105049,0.100059016,0.778046033,0.978164065,1043,227,304,-86.831859,34.162362,-86.70093539,32.87832515,36906,82450,4.98,40.5,50.563,95.856,1.106,0.523,0.611,4.213,8.759,3.147,0.4529,2.58,35.126,9.65,5.319,129.39,734.7764926,0
Alabama,1045,Dale County,13798,4408,18617,2016,9390,0.741150561,0.236772842,0.504377719,0.977923403,1045,227,304,-85.641269,31.383346,-86.70093539,32.87832515,34880,49362,5.8,36.9,50.727,74.427,19.667,0.595,1.024,5.888,17.791,4.884,0.4576,2.58,33.07,10.611,5.458,436.72,561.0977219,1
Alabama,1047,Dallas County,5784,12826,18730,2016,7042,0.308809397,0.684783769,0.375974373,0.993593166,1047,227,304,-87.034955,32.408815,-86.70093539,32.87832515,33682,40080,9.24,38.9,53.826,28.687,69.517,0.22,0.393,0.958,7.174,1.651,0.517,2.54,36.456,8.259,5.526,924.56,978.7324572,7
Alabama,1049,DeKalb County,21779,3682,26086,2016,18097,0.834892279,0.141148509,0.693743771,0.976040788,1049,227,304,-85.817208,34.45511,-86.70093539,32.87832515,30080,71104,6.08,39.3,50.472,87.201,1.525,1.38,0.302,14.015,7.048,7.693,0.4438,2.82,34.273,6.648,4.718,312.33,777.0943885,12
Alabama,1051,Elmore County,27619,8436,36905,2016,19183,0.748380978,0.228586912,0.519794066,0.976967891,1051,227,304,-86.225647,32.559652,-86.70093539,32.87832515,39847,81204,4.77,38.3,51.398,75.371,21.364,0.259,0.564,2.801,11.247,3.081,0.427,2.64,35.443,13.831,8.408,238.68,618.4430476,12
Alabama,1053,Escambia County,10282,4698,15213,2016,5584,0.675869322,0.308814829,0.367054493,0.984684152,1053,227,304,-87.282053,31.088737,-86.70093539,32.87832515,30787,37475,6.66,39.9,48.805,61.922,32.388,3.477,0.106,2.059,9.421,1.238,0.4891,2.61,43.432,7.379,4.247,446.25,945.2172474,2
Alabama,1055,Etowah County,32132,10350,43474,2016,21782,0.739108433,0.238073331,0.501035101,0.977181764,1055,227,304,-86.025393,34.013693,-86.70093539,32.87832515,35070,102855,5.92,40.9,51.62,81.29,15.413,0.46,0.676,3.63,9.452,3.261,0.4391,2.58,32.546,10.479,6.013,603.96,535.2788485,2
Alabama,1057,Fayette County,6705,1358,8196,2016,5347,0.818081991,0.165690581,0.65239141,0.983772572,1057,227,304,-87.770355,33.726422,-86.70093539,32.87832515,32694,16563,6.75,43.6,50.48,85.628,12.536,0,0.268,0.858,9.26,0.792,0.4579,2.4,39.039,8.877,5.269,0,627.6801793,0
Alabama,1059,Franklin County,9466,2197,11955,2016,7269,0.791802593,0.18377248,0.608030113,0.975575073,1059,227,304,-87.793594,34.460481,-86.70093539,32.87832515,31428,31611,5.89,39.1,50.74,89.105,4.52,0.991,0.323,16.017,5.817,9.53,0.4415,2.67,36.688,7.932,4.458,264.23,633.9149669,12
Alabama,1061,Geneva County,9967,1522,11659,2016,8445,0.854876061,0.130542928,0.724333133,0.98541899,1061,227,304,-85.788849,31.09426,-86.70093539,32.87832515,33045,26494,5.79,42,51.16,86.811,9.602,0.471,0.385,3.706,10.23,2.324,0.4508,2.49,35.959,8.29,3.371,413.57,574.4772888,0
Alabama,1063,Greene County,838,4006,4862,2016,3168,0.172357055,0.823940765,0.65158371,0.99629782,1063,227,304,-87.924,32.830505,-86.70093539,32.87832515,31160,8482,9.96,41.3,52.347,17.142,81.251,0.408,0.163,0.617,5.806,0.268,0.5086,2.75,40.972,7.661,2.313,669.34,647.0194538,7
Alabama,1065,Hale County,3172,4772,8010,2016,1600,0.396004994,0.595755306,0.199750312,0.9917603,1065,227,304,-87.626084,32.775804,-86.70093539,32.87832515,35130,14828,7.67,39.7,53.025,39.989,58.335,0.323,0.106,1.207,6.115,1.359,0.4906,2.51,42.79,9.698,4.331,208.56,643.9789359,7
Alabama,1067,Henry County,5623,2286,8017,2016,3337,0.701384558,0.285144069,0.416240489,0.986528627,1067,227,304,-85.268828,31.478593,-86.70093539,32.87832515,39201,17072,6.53,43.2,51.702,70.478,27.887,0,0,2.531,9.731,2.002,0.459,2.48,36.143,9.017,7.127,197.37,561.7471684,2
